"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 24 127486 14 2 1 7
"3" 32 30 127477 20 2 1 7
"4" 48 37 127473 26 1 1 9
"5" 64 39 127468 25 3 1 10
"6" 80 54 127454 31 10 2 11
"7" 96 77 127430 49 10 5 13
"8" 112 98 127410 62 7 10 19
"9" 128 119 127387 74 9 13 23
"10" 144 143 127364 88 14 15 26
"11" 160 184 127317 111 19 21 33
"12" 176 229 127274 135 24 27 43
"13" 192 289 127215 169 25 31 64
"14" 208 395 127110 230 43 34 88
"15" 224 510 126989 309 52 41 108
"16" 240 637 126856 389 64 46 138
"17" 256 807 126678 495 75 58 179
"18" 272 1015 126468 619 104 70 222
"19" 288 1299 126171 793 125 97 284
"20" 304 1611 125868 972 157 130 352
"21" 320 2034 125437 1218 221 162 433
"22" 336 2638 124811 1605 275 215 543
"23" 352 3374 124057 2085 321 278 690
"24" 368 4242 123169 2569 434 352 887
"25" 384 5395 121965 3289 555 449 1102
"26" 400 6816 120508 4158 713 572 1373
"27" 416 8634 118654 5190 970 744 1730
"28" 432 10880 116353 6546 1175 951 2208
"29" 448 13751 113416 8238 1477 1233 2803
"30" 464 17221 109859 10260 1854 1542 3565
"31" 480 21516 105435 12728 2308 1942 4538
"32" 496 26960 99935 15841 2938 2462 5719
"33" 512 33244 93477 19307 3705 3091 7141
"34" 528 40749 85794 23279 4581 3890 8999
"35" 544 49289 77041 27321 5701 4923 11344
"36" 560 59154 67100 31876 6977 6140 14161
"37" 576 69282 56789 35788 8274 7606 17614
"38" 592 79403 46511 38703 9571 9427 21702
"39" 608 89342 36493 40371 10995 11469 26507
"40" 624 98763 27150 40812 12356 13729 31866
"41" 640 107116 18849 39636 13557 16215 37708
"42" 656 113756 12222 36662 14138 18991 43965
"43" 672 118820 7398 32200 14352 21772 50496
"44" 688 122100 4264 26396 14139 24548 57017
"45" 704 124162 2419 20666 12980 27184 63332
"46" 720 125436 1371 15269 11630 29558 68979
"47" 736 126192 824 10558 10071 31680 73883
"48" 752 126659 526 7034 8215 33475 77935
"49" 768 126919 338 4497 6423 34800 81199
"50" 784 127102 244 2780 4754 35898 83670
"51" 800 127220 199 1659 3414 36663 85484
