"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 27 127481 18 4 1 4
"3" 32 36 127474 24 6 1 5
"4" 48 48 127461 33 7 2 6
"5" 64 62 127444 44 5 3 10
"6" 80 84 127426 57 10 5 12
"7" 96 118 127387 78 18 7 15
"8" 112 151 127356 103 10 16 22
"9" 128 187 127318 126 14 18 29
"10" 144 234 127272 144 24 23 43
"11" 160 300 127204 181 31 26 62
"12" 176 398 127104 242 41 30 85
"13" 192 493 127003 299 46 41 107
"14" 208 647 126848 396 66 47 138
"15" 224 806 126680 473 89 64 180
"16" 240 1006 126478 593 103 86 224
"17" 256 1274 126207 742 144 113 275
"18" 272 1640 125828 973 178 145 344
"19" 288 2079 125386 1251 221 184 423
"20" 304 2661 124785 1622 269 227 543
"21" 320 3326 124097 2019 344 271 692
"22" 336 4252 123154 2579 459 340 874
"23" 352 5426 121926 3289 592 421 1124
"24" 368 6971 120370 4216 735 574 1446
"25" 384 8735 118540 5254 938 740 1803
"26" 400 11106 116137 6703 1155 937 2311
"27" 416 13943 113213 8343 1449 1195 2956
"28" 432 17537 109575 10420 1893 1540 3684
"29" 448 21941 104992 12987 2384 1960 4610
"30" 464 27299 99538 16087 2914 2487 5811
"31" 480 33405 93282 19355 3650 3122 7278
"32" 496 40591 85979 22987 4497 3920 9187
"33" 512 49049 77364 26938 5719 4870 11522
"34" 528 58543 67703 31286 6744 6111 14402
"35" 544 68385 57676 35020 8097 7519 17749
"36" 560 78616 47363 38131 9469 9233 21783
"37" 576 88583 37306 39998 10871 11217 26497
"38" 592 97933 27867 40484 12128 13532 31789
"39" 608 106397 19536 39543 13256 15988 37610
"40" 624 113185 12761 36547 14055 18723 43860
"41" 640 118316 7729 32174 14312 21487 50343
"42" 656 121887 4488 26819 13981 24161 56926
"43" 672 124073 2505 21085 13056 26787 63145
"44" 688 125368 1424 15582 11776 29179 68831
"45" 704 126155 823 10902 10129 31282 73842
"46" 720 126648 513 7350 8170 33098 78030
"47" 736 126949 336 4720 6342 34533 81354
"48" 752 127080 248 2908 4755 35554 83863
"49" 768 127222 182 1735 3460 36339 85688
"50" 784 127271 158 989 2364 36871 87047
"51" 800 127324 142 580 1568 37259 87917
