"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 25 127485 15 5 0 5
"3" 8 31 127478 21 2 0 8
"4" 12 41 127468 27 5 0 9
"5" 16 53 127456 37 4 0 12
"6" 20 66 127444 46 5 1 14
"7" 24 82 127426 50 14 2 16
"8" 28 120 127384 79 13 6 22
"9" 32 153 127355 100 20 7 26
"10" 36 185 127320 114 20 14 37
"11" 40 245 127255 154 23 17 51
"12" 44 315 127187 198 31 23 63
"13" 48 403 127096 251 52 28 72
"14" 52 534 126965 342 58 36 98
"15" 56 693 126797 444 65 51 133
"16" 60 887 126604 554 109 63 161
"17" 64 1134 126354 712 120 88 214
"18" 68 1441 126026 897 153 114 277
"19" 72 1912 125551 1207 203 147 355
"20" 76 2436 125018 1547 233 192 464
"21" 80 3071 124346 1928 312 249 582
"22" 84 3912 123502 2410 415 317 770
"23" 88 4974 122406 3049 536 408 981
"24" 92 6406 120944 3961 660 528 1257
"25" 96 8177 119119 5025 871 698 1583
"26" 100 10392 116841 6356 1118 881 2037
"27" 104 13109 114059 7981 1414 1115 2599
"28" 108 16547 110542 10024 1742 1434 3347
"29" 112 20667 106358 12380 2219 1867 4201
"30" 116 25658 101218 15084 2878 2359 5337
"31" 120 31737 94976 18425 3528 2974 6810
"32" 124 38960 87636 22247 4372 3750 8591
"33" 128 47445 78938 26583 5355 4694 10813
"34" 132 56661 69554 30702 6554 5890 13515
"35" 136 66535 59509 34601 7737 7295 16902
"36" 140 76746 49211 37826 9244 8947 20729
"37" 144 86902 39040 40149 10496 10954 25303
"38" 148 96400 29416 40763 12026 13191 30420
"39" 152 105148 20722 40213 13087 15673 36175
"40" 156 112215 13730 37491 13991 18336 42397
"41" 160 117624 8472 33286 14399 21181 48758
"42" 164 121339 4992 27822 14245 23971 55301
"43" 168 123727 2778 22140 13400 26609 61578
"44" 172 125225 1544 16527 12225 29096 67377
"45" 176 126068 894 11543 10568 31384 72573
"46" 180 126612 528 7814 8574 33226 76998
"47" 184 126900 335 5037 6639 34715 80509
"48" 188 127115 233 3179 4969 35800 83167
"49" 192 127225 165 1947 3529 36632 85117
"50" 196 127303 129 1167 2448 37226 86462
"51" 200 127343 114 645 1690 37621 87387
