"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 25 127482 15 7 1 2
"3" 8 42 127468 32 4 2 4
"4" 12 44 127461 31 3 2 8
"5" 16 65 127445 44 6 4 11
"6" 20 72 127437 45 7 7 13
"7" 24 95 127413 59 10 7 19
"8" 28 111 127398 64 12 10 25
"9" 32 136 127371 72 19 14 31
"10" 36 190 127311 114 14 21 41
"11" 40 231 127272 137 22 25 47
"12" 44 284 127221 165 25 30 64
"13" 48 352 127154 204 37 33 78
"14" 52 446 127055 265 46 38 97
"15" 56 586 126912 356 59 49 122
"16" 60 731 126758 449 74 59 149
"17" 64 934 126557 573 102 71 188
"18" 68 1201 126261 741 128 91 241
"19" 72 1543 125927 950 167 119 307
"20" 76 1979 125470 1213 206 149 411
"21" 80 2526 124912 1564 250 204 508
"22" 84 3226 124203 1978 339 265 644
"23" 88 4081 123337 2487 445 336 813
"24" 92 5226 122158 3184 572 426 1044
"25" 96 6645 120672 4058 672 550 1365
"26" 100 8436 118839 5190 888 681 1677
"27" 104 10755 116502 6550 1173 892 2140
"28" 108 13549 113604 8188 1467 1145 2749
"29" 112 16999 110049 10208 1857 1458 3476
"30" 116 21251 105735 12599 2321 1888 4443
"31" 120 26563 100322 15644 2919 2394 5606
"32" 124 32735 93979 18982 3605 3053 7095
"33" 128 40033 86503 22753 4480 3846 8954
"34" 132 48302 78119 26789 5419 4819 11275
"35" 136 57308 68877 30743 6397 6025 14143
"36" 140 67030 58995 34544 7740 7389 17357
"37" 144 77204 48708 37652 9193 9135 21224
"38" 148 87486 38395 39985 10634 11123 25744
"39" 152 96909 28941 40593 11930 13352 31034
"40" 156 105164 20655 39516 13121 15758 36769
"41" 160 112197 13789 37053 13752 18347 43045
"42" 164 117560 8566 32741 14142 21171 49506
"43" 168 121255 5022 27443 13906 23929 55977
"44" 172 123686 2886 21867 13027 26615 62177
"45" 176 125083 1660 16199 11928 29108 67848
"46" 180 126039 961 11489 10337 31339 72874
"47" 184 126535 602 7830 8457 33180 77068
"48" 188 126869 392 5018 6798 34633 80420
"49" 192 127076 267 3160 5046 35768 83102
"50" 196 127205 190 1910 3644 36608 85043
"51" 200 127277 153 1165 2535 37186 86391
